0.10  -1.73105e+00 4.35311e+05
0.20  -1.74125e+00 4.40054e+05
0.30  -1.72992e+00 4.29080e+05
0.40  -1.73365e+00 4.30709e+05
0.50  -1.73477e+00 4.36399e+05
0.60  -1.73245e+00 4.38370e+05
0.70  -1.72934e+00 4.14992e+05
0.80  -1.72606e+00 4.27559e+05
0.90  -1.71885e+00 4.19201e+05
1.00  -1.71120e+00 4.07920e+05
1.10  -1.70117e+00 3.98774e+05
1.20  -1.67959e+00 3.76678e+05
1.30  -1.66041e+00 3.82086e+05
1.40  -1.63636e+00 3.64318e+05
1.50  -1.60795e+00 3.56299e+05
1.60  -1.57665e+00 3.41519e+05
1.70  -1.53669e+00 3.26236e+05
1.80  -1.48450e+00 2.89034e+05
1.90  -1.43492e+00 2.62302e+05
2.00  -1.37249e+00 2.38006e+05
2.10  -1.31216e+00 2.18517e+05
2.20  -1.25208e+00 1.83016e+05
2.30  -1.18502e+00 1.63783e+05
2.40  -1.11936e+00 1.36469e+05
2.50  -1.05608e+00 1.05401e+05
2.60  -9.98280e-01 8.94908e+04
2.70  -9.40680e-01 7.00687e+04
2.80  -8.93856e-01 5.39986e+04
2.90  -8.47125e-01 3.46401e+04
3.00  -8.08284e-01 3.26897e+04
3.10  -7.69957e-01 2.16732e+04
3.20  -7.39790e-01 2.17491e+04
3.30  -7.04599e-01 1.07760e+04
3.40  -6.79354e-01 5.19132e+03
3.50  -6.51683e-01 4.40740e+03
3.60  -6.29195e-01 -7.05420e+02
3.70  -6.06752e-01 2.70418e+03
3.80  -5.87804e-01 1.76232e+03
3.90  -5.67695e-01 1.30327e+03
4.00  -5.51485e-01 -9.48456e+02
4.10  -5.32620e-01 -2.07037e+03
4.20  -5.23960e-01 9.59778e+02
4.30  -4.98593e-01 -5.30391e+02
4.40  -4.89991e-01 -3.01182e+02
4.50  -4.75046e-01 -2.93893e+02
4.60  -4.64304e-01 -1.20044e+03
4.70  -4.53351e-01 -7.93155e+02
4.80  -4.42689e-01 -9.01806e+02
4.90  -4.29313e-01 -1.49698e+03
5.00  -4.20875e-01 -2.65365e+03
5.10  -4.12223e-01 -2.07454e+03
5.20  -3.99220e-01 -3.08124e+03
5.30  -3.96040e-01 -1.25586e+03
5.40  -3.87541e-01 -2.03539e+03
5.50  -3.81745e-01 -1.40821e+03
5.60  -3.69596e-01 -1.32599e+03
5.70  -3.62106e-01 -2.88794e+03
5.80  -3.55250e-01 -1.17971e+03
5.90  -3.45556e-01 -2.45118e+03
6.00  -3.42507e-01 -1.68977e+03
